sku,channel,week,units,revenue,cost,region,rep,note
SKU-1001,web,2026-W2,11,99.00,71.28,EU-North,Rep-1,Regular sell-through in the field. batch 1
SKU-1002,web,2026-W3,12,120.00,86.40,EU-North,Rep-2,Regular sell-through in the field. batch 2
SKU-1003,web,2026-W4,13,143.00,102.96,EU-North,Rep-3,Regular sell-through in the field. batch 3
SKU-1004,web,2026-W5,14,168.00,120.96,EU-North,Rep-4,Regular sell-through in the field. batch 4
SKU-1005,web,2026-W6,15,120.00,86.40,EU-North,Rep-5,Regular sell-through in the field. batch 5
SKU-1006,web,2026-W7,16,144.00,103.68,EU-North,Rep-6,Regular sell-through in the field. batch 6
SKU-1007,web,2026-W8,17,170.00,122.40,EU-North,Rep-7,Regular sell-through in the field. batch 7
SKU-1008,web,2026-W9,18,198.00,142.56,EU-North,Rep-8,Regular sell-through in the field. batch 8
SKU-1009,web,2026-W10,19,228.00,164.16,EU-North,Rep-9,Regular sell-through in the field. batch 9
SKU-1010,web,2026-W11,20,160.00,115.20,EU-North,Rep-10,Regular sell-through in the field. batch 10
SKU-1011,web,2026-W12,21,189.00,136.08,EU-North,Rep-11,Regular sell-through in the field. batch 11
SKU-1012,web,2026-W13,22,220.00,158.40,EU-North,Rep-0,Regular sell-through in the field. batch 12
SKU-1013,web,2026-W14,23,253.00,182.16,EU-North,Rep-1,Regular sell-through in the field. batch 13
SKU-1014,web,2026-W15,24,288.00,207.36,EU-North,Rep-2,Regular sell-through in the field. batch 14
SKU-1015,web,2026-W16,25,200.00,144.00,EU-North,Rep-3,Regular sell-through in the field. batch 15
SKU-1016,web,2026-W17,26,234.00,168.48,EU-North,Rep-4,Regular sell-through in the field. batch 16
SKU-1017,web,2026-W18,10,100.00,72.00,EU-North,Rep-5,Regular sell-through in the field. batch 17
SKU-1018,web,2026-W19,11,121.00,87.12,EU-North,Rep-6,Regular sell-through in the field. batch 18
SKU-1019,web,2026-W20,12,144.00,103.68,EU-North,Rep-7,Regular sell-through in the field. batch 19
SKU-1020,web,2026-W21,13,104.00,74.88,EU-North,Rep-8,Regular sell-through in the field. batch 20
SKU-1021,web,2026-W22,14,126.00,90.72,EU-North,Rep-9,Regular sell-through in the field. batch 21
SKU-1022,web,2026-W23,15,150.00,108.00,EU-North,Rep-10,Regular sell-through in the field. batch 22
SKU-1023,web,2026-W24,16,176.00,126.72,EU-North,Rep-11,Regular sell-through in the field. batch 23
SKU-1024,web,2026-W25,17,204.00,146.88,EU-North,Rep-0,Regular sell-through in the field. batch 24
SKU-1025,web,2026-W26,18,144.00,103.68,EU-North,Rep-1,Regular sell-through in the field. batch 25
